Postcode,Latitude,Longitude
DE23,52.8993,-1.49997
DE24,52.8903,-1.45312
DE45,53.2142,-1.67751
DE55,53.0996,-1.37229
DE56,53.0213,-1.47724
DE65,52.8667,-1.62278
DE72,52.8938,-1.36694
DE73,52.8495,-1.43841
DE74,52.8468,-1.339
DE75,53.012,-1.35317
DE99,52.9151,-1.46414
DG1,55.0733,-3.58569
DG2,55.0654,-3.65694
DG3,55.2369,-3.79902
DG4,55.3752,-3.95487
DG5,54.9215,-3.81293
DG6,54.8372,-4.05549
DG7,54.966,-4.00805
DG8,54.8747,-4.51395
DG9,54.8783,-5.02298
DG10,55.3215,-3.43944
DG11,55.1146,-3.34064
DG12,54.9897,-3.25139
DG13,55.1744,-3.03207
DG14,55.0802,-2.9876
DG16,54.9969,-3.06852
DH1,54.7827,-1.56219
DH2,54.86,-1.5985
DH3,54.87,-1.56911
DH4,54.8527,-1.49011
DH5,54.8246,-1.45586
DH6,54.7531,-1.46561
DH7,54.7896,-1.66156
DH8,54.8533,-1.83251
DH9,54.8678,-1.71098
DH97,54.7863,-1.55527
DH98,54.8873,-1.58841
DH99,54.7879,-1.5503
DL1,54.5281,-1.54134
DL2,54.528,-1.59089
DL3,54.5312,-1.56908
DL4,54.6308,-1.64565
DL5,54.6162,-1.57709
DL6,54.3675,-1.39524
DL7,54.337,-1.47876
DL8,54.2946,-1.78419
DL9,54.376,-1.71084
DL10,54.4132,-1.69993
DL11,54.4391,-1.87105
DL12,54.5702,-1.98099
DL13,54.7168,-1.95194
DL14,54.6534,-1.69015
DL15,54.7097,-1.72929
DL16,54.6991,-1.60396
DL17,54.681,-1.54307
DL98,54.5275,-1.5597
DN1,53.5205,-1.11885
DN2,53.5329,-1.10424
DN3,53.5437,-1.06457
DN4,53.506,-1.12221
DN5,53.5368,-1.17117
DN6,53.5947,-1.17717
DN7,53.5801,-1.01737
DN8,53.6145,-0.956519
DN9,53.5055,-0.905715
DN10,53.4264,-0.940793
DN11,53.4496,-1.08352
DN12,53.4832,-1.22367
DN14,53.708,-0.935051
DN15,53.6095,-0.652506
DN16,53.5684,-0.639985
DN17,53.5734,-0.703494
DN18,53.682,-0.445791
DN19,53.6846,-0.365813
DN20,53.5577,-0.503503
DN21,53.4171,-0.710271
DN22,53.3249,-0.9299
DN31,53.5709,-0.0843657
DN32,53.5633,-0.0711222
DN33,53.5406,-0.0985157
DN34,53.5581,-0.112068
DN35,53.5555,-0.0379456
DN36,53.5133,-0.0402736
DN37,53.5503,-0.148819
DN38,53.5606,-0.397247
DN39,53.6168,-0.329669
DN40,53.6216,-0.223835
DN41,53.5848,-0.19523
DN55,53.5129,-1.12572
DT1,50.7126,-2.44441
DT2,50.7484,-2.44913
DT3,50.6403,-2.46717
DT4,50.6099,-2.46318
DT5,50.5493,-2.44277
DT6,50.7386,-2.77457
DT7,50.7293,-2.94576
DT8,50.8149,-2.75794
DT9,50.9425,-2.51659
DT10,50.9373,-2.33186
DT11,50.8614,-2.17961
DY1,52.5151,-2.09426
DY2,52.4976,-2.08261
DY3,52.5298,-2.12885
DY4,52.5319,-2.05443
DY5,52.4811,-2.12278
DY6,52.4989,-2.16436
DY7,52.4646,-2.21828
DY8,52.4599,-2.15372
DY9,52.4375,-2.12417
DY10,52.3865,-2.22914
DY11,52.3855,-2.2602
DY12,52.3865,-2.3235
DY13,52.3372,-2.28087
DY14,52.3809,-2.45599
E1,51.5163,-0.0603696
E1W,51.5123,-0.0592607
E2,51.5302,-0.0622237
E3,51.5282,-0.0256221
E4,51.6241,-0.00297838
E5,51.5593,-0.0546091
E6,51.5252,0.0551587
E7,51.5476,0.0260547
E8,51.5411,-0.0648783
E9,51.5416,-0.046836
E10,51.5687,-0.0128918
E11,51.5673,0.0116027
E12,51.5511,0.0506792
E13,51.5283,0.0258636
E14,51.5077,-0.0205453
E15,51.5383,0.000275101
E16,51.5114,0.0210886
E17,51.5864,-0.020184
E18,51.5926,0.0255846
E20,51.5464,-0.0107119
E22,,
E77,51.5139,-0.069129
E98,51.5086,-0.0641003
EC1A,51.5203,-0.104444
EC1M,51.5214,-0.103589
EC1N,51.52,-0.109139
EC1P,51.5246,-0.112035
EC1R,51.5245,-0.108972
EC1V,51.5265,-0.0993123
EC1Y,51.5231,-0.0934057
EC2A,51.5231,-0.0879623
EC2M,51.5184,-0.0867919
EC2N,51.516,-0.0874616
EC2P,51.5241,-0.110648
EC2R,51.5163,-0.0918673
EC2V,51.5158,-0.0949201
EC2Y,51.52,-0.0963194
EC3A,51.515,-0.082011
EC3B,51.514,-0.081823
EC3M,51.5122,-0.0837303
EC3N,51.5127,-0.0797829
EC3P,51.5226,-0.107408
EC3R,51.5112,-0.0846499
EC3V,51.5133,-0.0869124
EC4A,51.5159,-0.108663
EC4M,51.5149,-0.100627
EC4N,51.5134,-0.0931048
EC4P,51.5233,-0.110744
EC4R,51.5114,-0.0917412
EC4V,51.5126,-0.100247
EC4Y,51.5137,-0.108858
EC50,51.5245,-0.112088
EC88,51.5245,-0.0791226
EH1,55.9523,-3.19208
EH2,55.9532,-3.20047
EH3,55.9522,-3.20516
EH4,55.9623,-3.25582
EH5,55.9746,-3.21943
EH6,55.9712,-3.17378
EH7,55.9599,-3.16401
EH8,55.9499,-3.16633
EH9,55.9333,-3.18711
EH10,55.9216,-3.21081
EH11,55.9334,-3.25136
EH12,55.9412,-3.27474
EH13,55.9086,-3.24252
EH14,55.9117,-3.28067
EH15,55.9472,-3.11305
EH16,55.9238,-3.15099
EH17,55.906,-3.14329
EH18,55.8766,-3.12172
EH19,55.8726,-3.10472
EH20,55.8787,-3.15359
EH21,55.9389,-3.04644
EH22,55.8859,-3.06199
EH23,55.841,-3.05176
EH24,55.851,-3.13542
EH25,55.8595,-3.17778
EH26,55.8335,-3.22388
EH27,55.8902,-3.42378
EH28,55.9283,-3.40538
EH29,55.9568,-3.39567
EH30,55.9827,-3.3801
EH31,56.0377,-2.82051
EH32,55.9663,-2.95194
EH33,55.9417,-2.94465
EH34,55.9105,-2.88559
EH35,55.9111,-2.94457
EH36,55.8554,-2.85429
EH37,55.8634,-2.96623
EH38,55.7852,-2.96187
EH39,56.0481,-2.73265
EH40,55.9902,-2.65136
EH41,55.9495,-2.77831
EH42,55.9938,-2.5245
EH43,55.6239,-3.01163
EH44,55.621,-3.07046
EH45,55.654,-3.19026
EH46,55.7343,-3.34322
EH47,55.8606,-3.66477
EH48,55.8983,-3.66084
EH49,55.9769,-3.60289
EH51,56.0116,-3.60531
EH52,55.9363,-3.48943
EH53,55.8948,-3.4732
EH54,55.8918,-3.52483
EH55,55.8487,-3.57344
EH77,,
EH91,55.9272,-3.2907
EH95,55.9786,-3.25352
EH99,55.9519,-3.19475
EN1,51.6533,-0.0706311
EN2,51.6585,-0.091758
EN3,51.658,-0.0415899
EN4,51.6483,-0.162151
EN5,51.6482,-0.190224
EN6,51.699,-0.179877
EN7,51.7085,-0.0650253
EN8,51.696,-0.0331162
EN9,51.6947,0.010568
EN10,51.7409,-0.0212033
EN11,51.7637,-0.00943268
EN77,,
EX1,50.7271,-3.50869
EX2,50.7111,-3.51516
EX3,50.6952,-3.46023
EX4,50.7303,-3.52628
EX5,50.7549,-3.43584
EX6,50.6759,-3.59232
EX7,50.5861,-3.47121
EX8,50.6284,-3.40302
EX9,50.639,-3.32361
EX10,50.6919,-3.24573
EX11,50.7472,-3.28863
EX12,50.7067,-3.08104
EX13,50.7739,-3.02515
EX14,50.8108,-3.20018
EX15,50.8755,-3.34631
EX16,50.9205,-3.49104
EX17,50.8101,-3.70133
EX18,50.9016,-3.88653
EX19,50.8758,-3.99915
EX20,50.751,-4.01601
